1, 10000, 11339200
1, 10833, 11592000
1, 11736, 10932900
1, 12714, 10951200
1, 13774, 10793600
1, 14922, 10788700
1, 16166, 10756500
1, 17514, 11806200
1, 18974, 10912500
1, 20556, 10892000
1, 22269, 10745700
1, 24125, 10746700
1, 26136, 10800600
1, 28315, 10748500
1, 30675, 10774000
1, 33232, 10793800
1, 36003, 10749100
1, 39004, 10737300
1, 42255, 10821500
1, 45777, 10764700
1, 49593, 12197900
1, 53727, 10736600
1, 58205, 10734500
1, 63057, 10709100
1, 68313, 10765800
1, 74008, 10923600
1, 80177, 11804600
1, 86860, 11830900
1, 94100, 12829800
1, 101944, 11587400
1, 110442, 10941400
1, 119648, 10886300
1, 129622, 11654100
1, 140426, 11553900
1, 152132, 10747700
1, 164813, 10840400
1, 178551, 11250300
1, 193434, 10730100
1, 209558, 10896300
1, 227026, 10796600
1, 245950, 10694300
1, 266452, 10893500
1, 288662, 11410600
1, 312724, 11770300
1, 338792, 10901400
1, 367032, 12682200
1, 397626, 11976500
1, 430771, 12147100
1, 466678, 11515000
1, 505579, 10995800
1, 547722, 11006800
1, 593378, 10915000
1, 642840, 11048900
1, 696424, 11243200
1, 754476, 10998600
1, 817366, 10984400
1, 885498, 10915900
1, 959310, 13057900
1, 1039274, 12090800
1, 1125904, 11001200
1, 1219755, 11149600
1, 1321429, 11105100
1, 1431578, 10876200
1, 1550909, 11479300
1, 1680186, 11131800
1, 1820240, 11388200
1, 1971968, 11563000
1, 2136344, 11899600
1, 2314421, 11438200
1, 2507342, 11493400
1, 2716344, 18764900
1, 2942768, 13202200
1, 3188065, 12566500
1, 3453810, 12321300
1, 3741706, 17106800
1, 4053600, 14029400
1, 4391492, 14753500
1, 4757550, 16966000
1, 5154120, 13961600
1, 5583747, 17874100
1, 6049186, 13924200
1, 6553423, 15338600
1, 7099690, 19515900
1, 7691492, 14599300
1, 8332625, 14825900
1, 9027200, 16357900
1, 9779671, 17633600
1, 10594866, 14143700
1, 11478012, 19617700
1, 12434774, 21062200
1, 13471288, 20875200
1, 14594201, 21295600
1, 15810716, 18180700
1, 17128635, 18500400
1, 18556410, 17056400
1, 20103199, 22343800
1, 21778923, 22073400
1, 23594328, 27364600
1, 25561058, 25653600
1, 27691727, 29186900
2, 10000, 6582100
2, 10833, 7182100
2, 11736, 6610100
2, 12714, 7773600
